Company Name,Symbol
"Activision Blizzard, Inc",ATVI
Adobe Systems Incorporated,ADBE
"Akamai Technologies, Inc.",AKAM
"Alexion Pharmaceuticals, Inc.",ALXN
Altera Corporation,ALTR
"Amazon.com, Inc.",AMZN
Amgen Inc.,AMGN
"Apollo Group, Inc.",APOL
Apple Inc.,AAPL
"Applied Materials, Inc.",AMAT
"Autodesk, Inc.",ADSK
"Automatic Data Processing, Inc.",ADP
"Baidu, Inc.",BIDU
Bed Bath & Beyond Inc.,BBBY
Biogen Idec Inc,BIIB
"BMC Software, Inc.",BMC
Broadcom Corporation,BRCM
"C.H. Robinson Worldwide, Inc.",CHRW
CA Inc.,CA
Celgene Corporation,CELG
Cerner Corporation,CERN
Check Point Software Technologies Ltd.,CHKP
"Cisco Systems, Inc.",CSCO
"Citrix Systems, Inc.",CTXS
Cognizant Technology Solutions Corporation,CTSH
Comcast Corporation,CMCSA
Costco Wholesale Corporation,COST
"Ctrip.com International, Ltd.",CTRP
Dell Inc.,DELL
DENTSPLY International Inc.,XRAY
DIRECTV,DTV
"Dollar Tree, Inc.",DLTR
eBay Inc.,EBAY
Electronic Arts Inc.,ERTS
"Expedia, Inc.",EXPE
"Expeditors International of Washington, Inc.",EXPD
"Express Scripts, Inc.",ESRX
"F5 Networks, Inc.",FFIV
Fastenal Company,FAST
"First Solar, Inc.",FSLR
"Fiserv, Inc.",FISV
Flextronics International Ltd.,FLEX
"FLIR Systems, Inc.",FLIR
Garmin Ltd.,GRMN
"Gilead Sciences, Inc.",GILD
Google Inc.,GOOG
"Green Mountain Coffee Roasters, Inc.",GMCR
"Henry Schein, Inc.",HSIC
"Illumina, Inc.",ILMN
Infosys Limited,INFY
Intel Corporation,INTC
Intuit Inc.,INTU
"Intuitive Surgical, Inc.",ISRG
Joy Global Inc.,JOYG
KLA-Tencor Corporation,KLAC
Lam Research Corporation,LRCX
Liberty Media Corporation,LINTA
Life Technologies Corporation,LIFE
Linear Technology Corporation,LLTC
Marvell Technology Group Ltd.,MRVL
"Mattel, Inc.",MAT
"Maxim Integrated Products, Inc.",MXIM
Microchip Technology Incorporated,MCHP
"Micron Technology, Inc.",MU
Microsoft Corporation,MSFT
Mylan Inc.,MYL
"NetApp, Inc.",NTAP
"Netflix, Inc.",NFLX
News Corporation,NWSA
"NII Holdings, Inc.",NIHD
NVIDIA Corporation,NVDA
"O'Reilly Automotive, Inc.",ORLY
Oracle Corporation,ORCL
PACCAR Inc.,PCAR
"Paychex, Inc.",PAYX
priceline.com Incorporated,PCLN
Qiagen N.V.,QGEN
QUALCOMM Incorporated,QCOM
Research in Motion Limited,RIMM
"Ross Stores, Inc.",ROST
SanDisk Corporation,SNDK
Seagate Technology.,STX
Sears Holdings Corporation,SHLD
Sigma-Aldrich Corporation,SIAL
Sirius XM Radio Inc.,SIRI
"Staples, Inc.",SPLS
Starbucks Corporation,SBUX
"Stericycle, Inc.",SRCL
Symantec Corporation,SYMC
Teva Pharmaceutical Industries Limited,TEVA
"Urban Outfitters, Inc.",URBN
"VeriSign, Inc.",VRSN
Vertex Pharmaceuticals Incorporated,VRTX
Virgin Media Inc.,VMED
Vodafone Group Plc,VOD
Warner Chilcott plc,WCRX
"Whole Foods Market, Inc.",WFM
"Wynn Resorts, Limited",WYNN
"Xilinx, Inc.",XLNX
Yahoo! Inc.,YHOO
