"","NY.Close"
"1",5317.02
"2",5186.52
"3",5139.8
"4",5279.5
"5",5217.68
"6",5076.06
"7",5102.99
"8",5133.92
"9",5198.63
"10",5293.21
"11",5315.21
"12",5247.11
"13",5247.4
"14",5088.91
"15",4922.39
"16",4940.96
"17",5070.14
"18",5127.41
"19",5024.17
"20",5095.41
"21",4978.55
"22",4843.95
"23",4941.91
"24",5019.17
"25",5109.63
"26",5076.62
"27",5243.3
"28",5235.3
"29",5289.22
"30",5252.17
"31",5341.38
"32",5234.32
"33",5343.26
"34",5288.99
"35",5321.57
"36",5418.18
"37",5465.76
"38",5364.16
"39",5440.58
"40",5629.57
"41",5635.06
"42",5478.73
"43",5325.14
