"plot","north.n","east.n","north","east","vol.m3.ha"
1,12,1,1542.265,83.82,0
2,11,1,1408.155,83.82,63.4041531701539
3,10,1,1274.045,83.82,195.260138895561
4,9,1,1139.935,83.82,281.689581577583
5,8,1,1005.825,83.82,300.136568559884
6,7,1,871.715,83.82,184.684214456072
7,6,1,737.605,83.82,119.599887965769
8,5,1,603.495,83.82,46.6492775177133
9,4,1,469.385,83.82,114.349810460642
10,3,1,335.275,83.82,205.324544634226
11,2,1,201.165,83.82,208.194133492406
12,1,1,67.055,83.82,312.314162582026
13,12,2,1542.265,251.46,71.3184988268198
14,11,2,1408.155,251.46,0
15,10,2,1274.045,251.46,273.179292019385
16,9,2,1139.935,251.46,413.190282264787
17,8,2,1005.825,251.46,23.9860609015482
18,7,2,871.715,251.46,185.072078650881
19,6,2,737.605,251.46,276.365979861727
20,5,2,603.495,251.46,213.121132292324
21,4,2,469.385,251.46,345.978734427184
22,3,2,335.275,251.46,297.669034436655
23,2,2,201.165,251.46,299.231601437685
24,1,2,67.055,251.46,230.231073860534
25,12,3,1542.265,419.1,243.46922206828
26,11,3,1408.155,419.1,34.2567368018424
27,10,3,1274.045,419.1,323.424899336596
28,9,3,1139.935,419.1,155.158396835543
29,8,3,1005.825,419.1,82.7644803562298
30,7,3,871.715,419.1,164.287324639866
31,6,3,737.605,419.1,322.209938156299
32,5,3,603.495,419.1,128.461401917903
33,4,3,469.385,419.1,207.120448632298
34,3,3,335.275,419.1,211.184896952440
35,2,3,201.165,419.1,272.368605545777
36,1,3,67.055,419.1,163.820609630915
37,12,4,1542.265,586.74,139.622373731912
38,11,4,1408.155,586.74,172.866588858622
39,10,4,1274.045,586.74,135.359043765542
40,9,4,1139.935,586.74,166.903517429926
41,8,4,1005.825,586.74,206.667806656429
42,7,4,871.715,586.74,136.453367586453
43,6,4,737.605,586.74,246.561507731415
44,5,4,603.495,586.74,256.877364968661
45,4,4,469.385,586.74,207.942768444644
46,3,4,335.275,586.74,160.953737696903
47,2,4,201.165,586.74,75.4689948645092
48,1,4,67.055,586.74,193.030654266300
49,12,5,1542.265,754.38,146.257615609686
50,11,5,1408.155,754.38,93.4383149793742
51,10,5,1274.045,754.38,209.320813176473
52,9,5,1139.935,754.38,138.804178026665
53,8,5,1005.825,754.38,202.422212157523
54,7,5,871.715,754.38,102.898904280406
55,6,5,737.605,754.38,294.474433467085
56,5,5,603.495,754.38,335.005444877893
57,4,5,469.385,754.38,191.284430851507
58,3,5,335.275,754.38,26.3548518726457
59,2,5,201.165,754.38,357.984001122665
60,1,5,67.055,754.38,292.189316939551
61,12,6,1542.265,922.02,207.864697444385
62,11,6,1408.155,922.02,162.012624482428
63,10,6,1274.045,922.02,237.798675632872
64,9,6,1139.935,922.02,303.004339726782
65,8,6,1005.825,922.02,283.215031636696
66,7,6,871.715,922.02,64.3085426224062
67,6,6,737.605,922.02,149.647178578281
68,5,6,603.495,922.02,105.852660554490
69,4,6,469.385,922.02,130.144078120568
70,3,6,335.275,922.02,233.72409991616
71,2,6,201.165,922.02,142.664397126466
72,1,6,67.055,922.02,174.027635482830
73,12,7,1542.265,1089.66,140.061843980941
74,11,7,1408.155,1089.66,76.3976431863151
75,10,7,1274.045,1089.66,62.5707110435144
76,9,7,1139.935,1089.66,37.4713751158974
77,8,7,1005.825,1089.66,18.2462748385018
78,7,7,871.715,1089.66,265.130059445324
79,6,7,737.605,1089.66,60.9316858668118
80,5,7,603.495,1089.66,187.997179045085
81,4,7,469.385,1089.66,74.7270352906416
82,3,7,335.275,1089.66,248.767011024848
83,2,7,201.165,1089.66,209.683318536842
84,1,7,67.055,1089.66,172.538559675638
85,12,8,1542.265,1257.3,238.014580585685
86,11,8,1408.155,1257.3,63.023728473064
87,10,8,1274.045,1257.3,119.367549616910
88,9,8,1139.935,1257.3,128.060663136716
89,8,8,1005.825,1257.3,80.4578129602044
90,7,8,871.715,1257.3,155.308148460629
91,6,8,737.605,1257.3,124.736553320177
92,5,8,603.495,1257.3,146.824879734104
93,4,8,469.385,1257.3,27.6173749114991
94,3,8,335.275,1257.3,19.9598289798369
95,2,8,201.165,1257.3,0
96,1,8,67.055,1257.3,22.7278727530805
97,12,9,1542.265,1424.94,281.430670235192
98,11,9,1408.155,1424.94,211.798304604651
99,10,9,1274.045,1424.94,144.782793295178
100,9,9,1139.935,1424.94,327.916728451264
101,8,9,1005.825,1424.94,101.857030953601
102,7,9,871.715,1424.94,20.1237195801333
103,6,9,737.605,1424.94,75.18771387102
104,5,9,603.495,1424.94,88.3866735358536
105,4,9,469.385,1424.94,92.7228751886683
106,3,9,335.275,1424.94,116.806278800494
107,2,9,201.165,1424.94,61.5576105878289
108,1,9,67.055,1424.94,53.5015509941077
109,12,10,1542.265,1592.58,77.2975755088967
110,11,10,1408.155,1592.58,141.196795575109
111,10,10,1274.045,1592.58,129.675053369880
112,9,10,1139.935,1592.58,241.621814585198
113,8,10,1005.825,1592.58,135.645610777688
114,7,10,871.715,1592.58,145.407881553779
115,6,10,737.605,1592.58,0
116,5,10,603.495,1592.58,32.1831576852412
117,4,10,469.385,1592.58,0
118,3,10,335.275,1592.58,77.4447348026466
119,2,10,201.165,1592.58,72.2437687173524
120,1,10,67.055,1592.58,25.3711894250517
121,12,11,1542.265,1760.22,121.339490510379
122,11,11,1408.155,1760.22,187.159651222493
123,10,11,1274.045,1760.22,54.0362584544297
124,9,11,1139.935,1760.22,111.567038266144
125,8,11,1005.825,1760.22,106.994542763250
126,7,11,871.715,1760.22,97.831699383018
127,6,11,737.605,1760.22,0
128,5,11,603.495,1760.22,228.051790650388
129,4,11,469.385,1760.22,59.3347276679453
130,3,11,335.275,1760.22,0
131,2,11,201.165,1760.22,93.8156784281826
132,1,11,67.055,1760.22,55.3106253416976
133,12,12,1542.265,1927.86,0
134,11,12,1408.155,1927.86,0
135,10,12,1274.045,1927.86,160.724169825041
136,9,12,1139.935,1927.86,153.485311830670
137,8,12,1005.825,1927.86,45.0722911975901
138,7,12,871.715,1927.86,18.2871665666464
139,6,12,737.605,1927.86,206.818887483448
140,5,12,603.495,1927.86,0
141,4,12,469.385,1927.86,27.3274327730699
142,3,12,335.275,1927.86,138.150291735257
143,2,12,201.165,1927.86,246.768846178482
144,1,12,67.055,1927.86,431.240705167537
